Price;Volume;%Volume;Count;%Count;;;;;;;;;;;
200.00 - 220.00;1.145.749.650;0,28%;5;0,50%;;;;;;;;;;;
180.00 - 200.00;11.093.234.997;2,74%;63;6,28%;;;;;;;;;;;
160.00 - 180.00;10.010.086.142;2,47%;56;5,58%;;;;;;;;;;;
140.00 - 160.00;11.205.031.329;2,77%;55;5,48%;;;;;;;;;;;
120.00 - 140.00;34.765.169.926;8,58%;129;12,86%;;;;;;;;;;;
100.00 - 120.00;30.433.720.202;7,51%;89;8,87%;;;;;;;;;;;
80.00 - 100.00;28.872.787.792;7,13%;61;6,08%;;;;;;;;;;;
60.00 - 80.00;15.708.264.610;3,88%;29;2,89%;;;;;;;;;;;
40.00 - 60.00;72.490.003.220;17,90%;155;15,45%;;;;;;;;;;;
20.00 - 40.00;85.314.380.340;21,06%;168;16,75%;;;;;;;;;;;
0.00 - 20.00;104.011.433.650;25,68%;193;19,24%;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
NVDA.O Statistics     Daily     03-Jan-2022 - 31-Dec-2025;;;;;;;;;;;;;;;
Price;;;Volume;;;;;Up/Down;;Price Change (Close-Close);;;Turnover;;
High;212,19;29-Oct-2025;Max;1.543.910.670;25-May-2023;Advancing;215.989.990.945;Up;537;Up;+24,37%;25-May-2023;Max;104.021.314.941,00;08-Mar-2024
Low;10,81;13-Oct-2022;Min;65.528.545;24-Dec-2025;Declining;188.278.174.673;Down;464;Down;-16,97%;27-Jan-2025;Min;2.745.657.486,00;25-Nov-2022
Avg (Close);79,21;;Avg;403.838.347;;Total;405.049.861.858;Unch;1;Period;+519,17%;03-Jan-2022 - 31-Dec-2025;Avg;24.433.208.002,04;
05-Aug-2025;178,26;-1,74;-0,97%;179,62;175,90;180,26;156.407.621;27.874.574.789,00;1.734.384.945.158,28;;;;;;
04-Aug-2025;180,00;+6,28;+3,62%;175,16;174,52;180,20;148.174.609;26.428.504.231,00;1.762.259.519.947,28;;;;;;
01-Aug-2025;173,72;-4,15;-2,33%;174,09;170,89;176,54;204.528.985;35.560.557.727,00;1.735.831.015.716,28;;;;;;
31-Jul-2025;177,87;-1,40;-0,78%;182,90;175,93;183,30;221.685.446;39.826.421.807,00;1.771.391.573.443,28;;;;;;
30-Jul-2025;179,27;+3,76;+2,14%;176,51;176,04;179,89;174.312.208;31.178.175.295,00;1.811.217.995.250,28;;;;;;
29-Jul-2025;175,51;-1,24;-0,70%;177,96;175,02;179,38;154.077.512;27.277.326.780,00;1.780.039.819.955,28;;;;;;
28-Jul-2025;176,75;+3,25;+1,87%;174,02;173,97;177,00;140.023.521;24.576.290.617,00;1.807.317.146.735,28;;;;;;
25-Jul-2025;173,50;-0,24;-0,14%;173,61;172,96;174,72;122.316.792;21.266.393.397,00;1.782.740.856.118,28;;;;;;
24-Jul-2025;173,74;+2,96;+1,73%;172,44;171,30;173,83;128.984.628;22.316.372.284,00;1.804.007.249.515,28;;;;;;
23-Jul-2025;170,78;+3,75;+2,25%;169,53;167,97;171,26;154.082.197;26.162.938.680,00;1.781.690.877.231,28;;;;;;
22-Jul-2025;167,03;-4,35;-2,54%;171,34;164,58;171,39;193.114.327;32.338.153.752,00;1.755.527.938.551,28;;;;;;
21-Jul-2025;171,38;-1,03;-0,60%;172,75;171,00;173,38;123.126.136;21.203.058.912,00;1.787.866.092.303,28;;;;;;
18-Jul-2025;172,41;-0,59;-0,34%;173,64;171,26;174,25;146.456.416;25.272.871.580,00;1.809.069.151.215,28;;;;;;
17-Jul-2025;173,00;+1,63;+0,95%;172,02;170,83;174,16;160.841.119;27.831.364.307,00;1.834.342.022.795,28;;;;;;
16-Jul-2025;171,37;+0,67;+0,39%;171,06;168,90;171,75;158.831.509;27.095.251.165,00;1.806.510.658.488,28;;;;;;
15-Jul-2025;170,70;+6,63;+4,04%;171,19;169,20;172,40;230.627.350;39.421.890.592,00;1.779.415.407.323,28;;;;;;
14-Jul-2025;164,07;-0,85;-0,52%;165,37;162,02;165,49;136.975.754;22.501.646.818,00;1.739.993.516.731,28;;;;;;
11-Jul-2025;164,92;+0,82;+0,50%;163,72;163,47;167,89;193.633.263;32.134.115.534,00;1.762.495.163.549,28;;;;;;
10-Jul-2025;164,10;+1,22;+0,75%;164,32;161,61;164,50;167.704.075;27.395.773.367,00;1.730.361.048.015,28;;;;;;
09-Jul-2025;162,88;+2,88;+1,80%;161,22;161,16;164,42;183.656.443;29.944.862.230,00;1.702.965.274.648,28;;;;;;
08-Jul-2025;160,00;+1,76;+1,11%;159,33;158,39;160,22;138.133.025;22.028.200.005,00;1.673.020.412.418,28;;;;;;
07-Jul-2025;158,24;-1,10;-0,69%;158,20;157,34;159,31;140.138.975;22.182.988.198,00;1.650.992.212.413,28;;;;;;
03-Jul-2025;159,34;+2,09;+1,33%;158,37;157,77;160,98;143.716.055;22.904.177.665,00;1.673.175.200.611,28;;;;;;
02-Jul-2025;157,25;+3,95;+2,58%;152,98;152,97;157,60;171.224.111;26.761.641.582,00;1.650.271.022.946,28;;;;;;
01-Jul-2025;153,30;-4,69;-2,97%;156,29;151,49;157,20;213.143.621;32.813.801.783,00;1.623.509.381.364,28;;;;;;
30-Jun-2025;157,99;+0,24;+0,15%;158,40;155,96;158,66;194.580.316;30.677.850.643,00;1.656.323.183.147,28;;;;;;
27-Jun-2025;157,75;+2,73;+1,76%;156,04;155,26;158,71;263.234.539;41.377.785.562,00;1.625.645.332.504,28;;;;;;
